"Entry ID","Report date","Discipline","Area","Site description","Status","Quantity","Unit","Supervisor"
"SEP05-CIV-01","2026-09-05","Civil","Pump Bay","Excavate pump foundation to final bed level 2.8m","Completed",1,"foundation","Rajesh Kumar"
"SEP05-CIV-02","2026-09-05","Civil","Pump Bay","Pour PCC bedding concrete for cooling water pump","Started",12,"cum","Rajesh Kumar"
"SEP05-PIP-01","2026-09-05","Piping","Fabrication Yard","Fabricate 24-inch CW header pipe spool (24-CW-017)","Completed",1,"spool","Amit Sharma"
"SEP05-PIP-02","2026-09-05","Piping","Pump Bay","Erect Line 24-CW-017 heavy cooling water spool at inlet bay","Started",1,"spool","Amit Sharma"
"SEP05-PIP-03","2026-09-05","Piping","Filter Bay","Erect fire water ring line 18-FW-008 near sand filters","Started",1,"spool","Amit Sharma"
"SEP05-PIP-04","2026-09-05","Piping","Pump Bay","Small-bore utility drain piping installed near pump casing [Not in baseline]","Completed",18,"m","Amit Sharma"
"SEP05-ELE-01","2026-09-05","Electrical","Pump Bay","Erect perforated galvanized cable tray Tier-1","Completed",35,"m","Venkatesh Rao"
"SEP05-ELE-02","2026-09-05","Electrical","Pump Bay","Install copper earthing tape around motor foundation perimeter","Started",42,"m","Venkatesh Rao"
"SEP05-ELE-03","2026-09-05","Electrical","Pump Bay","Pull heavy armored feeder cable without specified feeder tag","Started",120,"m","Venkatesh Rao"
"SEP05-HSE-01","2026-09-05","HSE","Pump Bay","Conduct lifting permit inspection for 75T mobile crane","Completed",1,"permit","Sanjay Patel"
