"Activity ID","WBS","Activity name","Discipline","Planned start","Planned finish","Area","Aliases"
"CIV-L6-001","1.1.1","Excavate pump foundation","Civil","2026-09-01","2026-09-03","Pump Bay","foundation digging; excavation"
"CIV-L6-002","1.1.2","Cast pump foundation concrete","Civil","2026-09-04","2026-09-06","Pump Bay","PCC; concrete pour; foundation concreting"
"CIV-L6-003","1.1.3","Install pipe rack pedestal","Civil","2026-09-07","2026-09-09","Pipe Rack A","pedestal work; rack pedestal"
"CIV-L6-004","1.1.4","Construct cable trench","Civil","2026-09-08","2026-09-11","Substation","trench excavation; cable trench work"
"PIP-L6-011","2.1.1","Fabricate Line 24-CW-017 spool","Piping","2026-09-02","2026-09-04","Fabrication Yard","spool fabrication; CW spool"
"PIP-L6-012","2.1.2","Erect Line 24-CW-017","Piping","2026-09-05","2026-09-07","Pump Bay","spool erection; erect cooling water line; CW line erection"
"PIP-L6-013","2.1.3","Weld Line 24-CW-017 field joint","Piping","2026-09-08","2026-09-09","Pump Bay","field weld; CW joint welding"
"PIP-L6-014","2.1.4","Hydrotest Line 24-CW-017","Piping","2026-09-10","2026-09-11","Pump Bay","pressure test; hydro test; hydrotesting"
"PIP-L6-015","2.1.5","Erect Line 18-FW-008","Piping","2026-09-06","2026-09-08","Filter Bay","spool erection; fire water line erection; FW spool"
"PIP-L6-016","2.1.6","Install pump suction piping","Piping","2026-09-09","2026-09-11","Pump Bay","suction spool; pump inlet piping"
"ELE-L6-021","3.1.1","Install cable tray in pump bay","Electrical","2026-09-04","2026-09-06","Pump Bay","tray installation; cable tray work"
"ELE-L6-022","3.1.2","Pull MCC feeder cable","Electrical","2026-09-07","2026-09-09","Pump Bay","cable pulling; feeder pulling; MCC cable"
"ELE-L6-023","3.1.3","Terminate MCC feeder cable","Electrical","2026-09-10","2026-09-11","Pump Bay","cable termination; MCC termination"
"ELE-L6-024","3.1.4","Install earthing strip","Electrical","2026-09-05","2026-09-06","Pump Bay","earthing work; ground strip"
"INS-L6-031","4.1.1","Install pressure transmitter PT-2401","Instrumentation","2026-09-10","2026-09-11","Pump Bay","PT installation; pressure transmitter mounting"
"HSE-L6-041","5.1.1","Conduct lifting safety inspection","HSE","2026-09-05","2026-09-05","Pump Bay","lifting inspection; crane safety check"
