"Activity ID","WBS","Activity name","Discipline","Planned start","Planned finish","Area","Aliases"
"CIV-L6-001","1.1.1","Excavate pump foundation","Civil","2026-09-16","2026-09-19","Pump Bay","foundation excavation; pump pit; soil cut"
"CIV-L6-002","1.1.2","Cast pump foundation concrete","Civil","2026-09-20","2026-09-23","Pump Bay","PCC; pump foundation concrete; concrete pour; M35 pour"
"CIV-L6-003","1.1.3","Install pipe rack pedestal","Civil","2026-09-22","2026-09-25","Pipe Rack A","pedestal work; rack pedestal; civil support"
"CIV-L6-004","1.1.4","Construct cable trench","Civil","2026-09-21","2026-09-24","Substation","trench excavation; cable trench work"
"PIP-L6-011","2.1.1","Fabricate Line 24-CW-017 spool","Piping","2026-09-18","2026-09-21","Fabrication Yard","spool fabrication; CW spool; cooling water pipe"
"PIP-L6-012","2.1.2","Erect Line 24-CW-017 cooling water spool","Piping","2026-09-21","2026-09-24","Pump Bay","spool erection; erect Line 24-CW-017; CW line erection"
"PIP-L6-013","2.1.3","Weld Line 24-CW-017 field joint","Piping","2026-09-24","2026-09-26","Pump Bay","field weld; CW joint welding; butt weld"
"PIP-L6-014","2.1.4","Hydrotest Line 24-CW-017","Piping","2026-09-27","2026-09-28","Pump Bay","pressure test; hydro test; hydrotesting"
"PIP-L6-015","2.1.5","Erect Line 18-FW-008 fire water spool","Piping","2026-09-22","2026-09-25","Filter Bay","spool erection; fire water line erection; FW spool"
"PIP-L6-016","2.1.6","Install pump suction piping","Piping","2026-09-25","2026-09-27","Pump Bay","suction spool; pump inlet piping"
"ELE-L6-021","3.1.1","Install cable tray Tier-1","Electrical","2026-09-19","2026-09-22","Pump Bay","tray installation; cable tray work; tray brackets"
"ELE-L6-022","3.1.2","Pull 415V MCC feeder cable Feed-01","Electrical","2026-09-23","2026-09-26","Pump Bay","cable pulling; feeder pulling; MCC cable; feeder 01"
"ELE-L6-023","3.1.3","Terminate MCC feeder cable Feed-01","Electrical","2026-09-26","2026-09-28","Pump Bay","cable termination; MCC termination; glanding"
"ELE-L6-024","3.1.4","Install motor earthing strip","Electrical","2026-09-20","2026-09-22","Pump Bay","earthing work; ground strip; copper earth bus"
"INS-L6-031","4.1.1","Mount pressure transmitter PT-101A","Instrumentation","2026-09-26","2026-09-28","Pump Bay","PT installation; pressure transmitter mounting; impulse tubing"
"EQP-L6-051","5.1.1","Position cooling water pump P-101A","Equipment","2026-09-23","2026-09-24","Pump Bay","pump placement; equipment positioning; baseplate alignment"
"HSE-L6-041","6.1.1","Conduct crane lifting permit audit","HSE","2026-09-22","2026-09-22","Pump Bay","lifting inspection; crane safety check; rigging permit"
